"year","authors","title","url",""
"2026","高橋 亮、横田 知之ら","IEEE RA-L 2025 Best Paper Award","https://www.t.u-tokyo.ac.jp/en/topics/tp2026-06-08-001",""
"2026","高橋 亮","船井研究奨励賞","https://funaifoundation.jp/grantees/awardees_up_to_now.html#:~:text=%E8%A9%B3%E7%B4%B0%E3%82%92%E8%A6%8B%E3%82%8B-,%E8%88%B9%E4%BA%95%E7%A0%94%E7%A9%B6%E5%A5%A8%E5%8A%B1%E8%B3%9E%E5%8F%97%E8%B3%9E%E8%80%85,-%E8%88%B9%E4%BA%95%E5%AD%A6%E8%A1%93%E8%B3%9E",""
"2025","高橋 亮","第42回「センサ・マイクロマシンと応用システム」シンポジウム　奨励賞","https://www.t.u-tokyo.ac.jp/topics/tp2025-11-18-001",""
"2025","高橋 亮","電気学会優秀論文発表賞A","",""
"2025","横田 知之","Clarivate Highly Cited Researchers 2025","https://clarivate.com/highly-cited-researchers/",""
"2025","井戸 智斗志","2025年度電子情報通信学会北海道支部学生会インターネットシンポジウム 優秀発表賞","https://www.ieice.org/hokkaido/?page_id=189",""
"2026","久家 大輝, 野田 聡人","SI2025 優秀講演賞","https://sice-si.org/si2025/excellent_speaker.php","https://www.kochi-tech.ac.jp/news/2026/006973.html"
"2026","髙木 康陽, 野田 聡人","SI2025 優秀講演賞","https://sice-si.org/si2025/excellent_speaker.php","https://www.kochi-tech.ac.jp/news/2026/006973.html"
"2026","前田 凜空, 野田 聡人","SI2025 優秀講演賞","https://sice-si.org/si2025/excellent_speaker.php","https://www.kochi-tech.ac.jp/news/2026/006973.html"
"2026","野田 聡人","IEEE CCNC 2026 Best Demo Award","https://www.kochi-tech.ac.jp/news/2026/006922.html",""
